date,cases,deaths,recovered
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,2,0,0
2020-03-03,2,0,0
2020-03-04,2,0,0
2020-03-05,2,0,0
2020-03-06,4,0,0
2020-03-07,4,0,0
2020-03-08,6,0,0
2020-03-09,19,0,0
2020-03-10,27,0,2
2020-03-11,34,1,2
2020-03-12,34,1,2
2020-03-13,69,4,2
2020-03-14,96,5,8
2020-03-15,117,5,8
2020-03-16,134,5,8
2020-03-17,172,5,8
2020-03-18,227,19,11
2020-03-19,311,25,11
2020-03-20,369,32,15
2020-03-21,450,38,15
2020-03-22,514,48,29
2020-03-23,579,49,29
2020-03-24,686,55,30
2020-03-25,790,58,31
2020-03-26,893,78,35
2020-03-27,1046,87,46
2020-03-28,1155,102,59
2020-03-29,1285,114,64
2020-03-30,1414,122,75
2020-03-31,1528,136,81
2020-04-01,1677,157,103
2020-04-02,1790,170,112
2020-04-03,1986,181,134
2020-04-04,2092,191,150
2020-04-05,2273,198,164
2020-04-06,2491,209,192
2020-04-07,2738,221,204
2020-04-08,2956,240,222
2020-04-09,3293,280,252
2020-04-10,3512,306,282
2020-04-11,3842,327,286
2020-04-12,4241,373,359
2020-04-13,4557,399,380
2020-04-14,4839,459,426
2020-04-15,5136,469,446
2020-04-16,5516,496,548
2020-04-17,5923,520,607
2020-04-18,6248,535,631
2020-04-19,6575,582,686
2020-04-20,6760,590,747
2020-04-21,7135,616,842
2020-04-22,7418,635,913
2020-04-23,7775,647,960
2020-04-24,8211,689,1002
2020-04-25,8607,720,1042
2020-04-26,8882,743,1107
2020-04-27,9096,765,1151
2020-04-28,9511,773,1254
2020-04-29,9771,784,1391
2020-04-30,10118,792,1522
2020-05-01,10551,800,1591
2020-05-02,10843,831,1665
2020-05-03,11192,845,1876
2020-05-04,11587,864,1954
2020-05-05,12071,872,2197
2020-05-06,12438,895,2317
2020-05-07,12776,930,2381
2020-05-08,13112,943,2494
2020-05-09,13645,959,2607
2020-05-10,14032,973,2698
2020-05-11,14265,991,2881
2020-05-12,14749,1007,3063
2020-05-13,15438,1028,3287
2020-05-14,16006,1043,3518
2020-05-15,16496,1076,3803
2020-05-16,17025,1089,3911
2020-05-17,17514,1148,4129
2020-05-18,18010,1191,4324
2020-05-19,18496,1221,4467
2020-05-20,19189,1242,4575
2020-05-21,20162,1278,4838
2020-05-22,20796,1326,5057
2020-05-23,21745,1351,5249
